train_data_name,test_data_name,model_name,auc,accuracy
movielens,movielens,alpaca-lora-7B,0.4444879140986132,0.473
movielens,movielens,model_A0_760_16,0.6033039612223934,0.474
movielens,movielens,model_A0_760_64,0.6290025520030816,0.504
movielens,movielens,model_A0_760_256,0.6752375449409347,0.493
amazon_books,amazon_books,alpaca-lora-7B,0.5721454620361328,0.5029296875
amazon_books,amazon_books,model_A0_760_16,0.5850582122802734,0.501953125
amazon_books,amazon_books,model_A0_760_64,0.585357666015625,0.5009765625
amazon_books,amazon_books,model_A0_760_256,0.5859794616699219,0.5009765625
amazon_movies_tv,amazon_movies_tv,alpaca-lora-7B,0.5348491668701172,0.50390625
amazon_movies_tv,amazon_movies_tv,model_A0_760_16,0.5279960632324219,0.5087890625
amazon_movies_tv,amazon_movies_tv,model_A0_760_64,0.5304794311523438,0.5087890625
amazon_movies_tv,amazon_movies_tv,model_A0_760_256,0.5209712982177734,0.5
amazon_electronics,amazon_electronics,alpaca-lora-7B,0.5312843322753906,0.5029296875
amazon_electronics,amazon_electronics,model_A0_760_16,0.5424060821533203,0.50390625
amazon_electronics,amazon_electronics,model_A0_760_64,0.5647659301757812,0.5
amazon_electronics,amazon_electronics,model_A0_760_256,0.5056304931640625,0.4990234375
yelp,yelp,alpaca-lora-7B,0.5287113189697266,0.501953125
yelp,yelp,model_A0_760_16,0.5539932250976562,0.50390625
yelp,yelp,model_A0_760_64,0.5387725830078125,0.5
yelp,yelp,model_A0_760_256,0.4837226867675781,0.5
movielens,movielens,alpaca-lora-2,0.5152237416538263,0.514
movielens,movielens,model_A2_760_16,0.513634758602979,0.503
movielens,movielens,model_A2_760_64,0.5142888097072419,0.507
movielens,movielens,model_A2_760_256,0.5489414804827941,0.541
amazon_books,amazon_books,alpaca-lora-2,0.5635986328125,0.505859375
amazon_books,amazon_books,model_A2_760_16,0.5655364990234375,0.50390625
amazon_books,amazon_books,model_A2_760_64,0.5634574890136719,0.5048828125
amazon_books,amazon_books,model_A2_760_256,0.4984779357910156,0.5107421875
amazon_movies_tv,amazon_movies_tv,alpaca-lora-2,0.5123043060302734,0.5078125
amazon_movies_tv,amazon_movies_tv,model_A2_760_16,0.5022048950195312,0.49609375
amazon_movies_tv,amazon_movies_tv,model_A2_760_64,0.5063457489013672,0.504882812
amazon_movies_tv,amazon_movies_tv,model_A2_760_256,0.4951324462890625,0.5068359375
amazon_electronics,amazon_electronics,alpaca-lora-2,0.5370616912841797,0.4990234375
amazon_electronics,amazon_electronics,model_A2_760_16,0.5029315948486328,0.50390625
amazon_electronics,amazon_electronics,model_A2_760_64,0.5300922393798828,0.5009765625
amazon_electronics,amazon_electronics,model_A2_760_256,0.5343074798583984,0.501953125
yelp,yelp,alpaca-lora-2,0.5162830352783203,0.5029296875
yelp,yelp,model_A2_760_16,0.5260677337646484,0.5048828125
yelp,yelp,model_A2_760_64,0.49140357971191406,0.5
yelp,yelp,model_A2_760_256,0.4566631317138672,0.498046875
